"Time","__name__","activity_factor","activity_factor_realized","agent_id","base_balance","base_collateral","base_loan","exported_netuid","hotkey","id","instance","inventory_value","inventory_value_change","job","min_daily_volume","min_roundtrip_volume","miner_gauge_name","netuid","placement","pnl","pnl_change","quote_balance","quote_collateral","quote_loan","score","sharpe","sharpe_penalty","sharpe_realized","sharpe_realized_penalty","sharpe_realized_score","sharpe_score","sharpe_unrealized_score","task","timestamp","timestamp_str","total_daily_volume","total_realized_pnl","total_roundtrip_volume","unnormalized_score","wallet","Value"
2025-12-17 13:03:51.000,miners,0,0,0,4922,0,0,366,5E7RbxVyLz681r9tF9a9bfB9ZuBQa4ZARbJ8HApjRruGaNtY,0,3.148.166.166:9001,20288,6.17,bittensor,0,0,miners,366,134,-41897,6.17,2523409,0,0,0,0.00976,0,None,0,0,0,0,validator_metrics,2741000000000,00:45:41.000000000,0,0,0,0,5E7RbxVyLz681r9tF9a9bfB9ZuBQa4ZARbJ8HApjRruGaNtY,1.00000
2025-12-17 13:03:51.000,miners,0,0,1,5223,0,0,366,5E7RbxVyLz681r9tF9a9bfB9ZuBQa4ZARbJ8HApjRruGaNtY,0,3.148.166.166:9001,22577,25.0,bittensor,0,0,miners,366,98,-33184,25.0,2433238,0,0,0,0.0122,0,None,0,0,0,0,validator_metrics,2741000000000,00:45:41.000000000,0,0,0,0,5E7RbxVyLz681r9tF9a9bfB9ZuBQa4ZARbJ8HApjRruGaNtY,1.00000
2025-12-17 13:03:51.000,miners,0,0,10,5414,0,0,366,5E7RbxVyLz681r9tF9a9bfB9ZuBQa4ZARbJ8HApjRruGaNtY,0,3.148.166.166:9001,21435,9.14,bittensor,0,0,miners,366,97,-37208,9.14,2375756,0,0,0,0.0124,0,None,0,0,0,0,validator_metrics,2741000000000,00:45:41.000000000,0,0,0,0,5E7RbxVyLz681r9tF9a9bfB9ZuBQa4ZARbJ8HApjRruGaNtY,1.00000
2025-12-17 13:03:51.000,miners,0,0,100,5183,0,0,366,5E7RbxVyLz681r9tF9a9bfB9ZuBQa4ZARbJ8HApjRruGaNtY,0,3.148.166.166:9001,15035,-1.65,bittensor,0,0,miners,366,29,-41825,-1.65,2445117,0,0,0,0.0105,0,None,0,0,0,0,validator_metrics,2741000000000,00:45:41.000000000,0,0,0,0,5E7RbxVyLz681r9tF9a9bfB9ZuBQa4ZARbJ8HApjRruGaNtY,1.00000
2025-12-17 13:03:51.000,miners,0,0,101,5193,0,0,366,5E7RbxVyLz681r9tF9a9bfB9ZuBQa4ZARbJ8HApjRruGaNtY,0,3.148.166.166:9001,21347,15.3,bittensor,0,0,miners,366,33,-36339,15.3,2442033,0,0,0,0.00848,0,None,0,0,0,0,validator_metrics,2741000000000,00:45:41.000000000,0,0,0,0,5E7RbxVyLz681r9tF9a9bfB9ZuBQa4ZARbJ8HApjRruGaNtY,1.00000
2025-12-17 13:03:51.000,miners,0,0,102,5068,0,0,366,5E7RbxVyLz681r9tF9a9bfB9ZuBQa4ZARbJ8HApjRruGaNtY,0,3.148.166.166:9001,16596,2.33,bittensor,0,0,miners,366,34,-37321,2.33,2479643,0,0,0,0.0118,0,None,0,0,0,0,validator_metrics,2741000000000,00:45:41.000000000,0,0,0,0,5E7RbxVyLz681r9tF9a9bfB9ZuBQa4ZARbJ8HApjRruGaNtY,1.00000
2025-12-17 13:03:51.000,miners,0,0,103,5355,0,0,366,5E7RbxVyLz681r9tF9a9bfB9ZuBQa4ZARbJ8HApjRruGaNtY,0,3.148.166.166:9001,22844,21.3,bittensor,0,0,miners,366,32,-40500,21.3,2393643,0,0,0,0.0114,0,None,0,0,0,0,validator_metrics,2741000000000,00:45:41.000000000,0,0,0,0,5E7RbxVyLz681r9tF9a9bfB9ZuBQa4ZARbJ8HApjRruGaNtY,1.00000
2025-12-17 13:03:51.000,miners,0,0,104,5445,0,0,366,5E7RbxVyLz681r9tF9a9bfB9ZuBQa4ZARbJ8HApjRruGaNtY,0,3.148.166.166:9001,19264,10.6,bittensor,0,0,miners,366,30,-38466,10.6,2366390,0,0,0,0.00858,0,None,0,0,0,0,validator_metrics,2741000000000,00:45:41.000000000,0,0,0,0,5E7RbxVyLz681r9tF9a9bfB9ZuBQa4ZARbJ8HApjRruGaNtY,1.00000
2025-12-17 13:03:51.000,miners,0,0,105,5211,0,0,366,5E7RbxVyLz681r9tF9a9bfB9ZuBQa4ZARbJ8HApjRruGaNtY,0,3.148.166.166:9001,17222,2.92,bittensor,0,0,miners,366,31,-48479,2.92,2436753,0,0,0,0.0101,0,None,0,0,0,0,validator_metrics,2741000000000,00:45:41.000000000,0,0,0,0,5E7RbxVyLz681r9tF9a9bfB9ZuBQa4ZARbJ8HApjRruGaNtY,1.00000
2025-12-17 13:03:51.000,miners,0,0,106,5357,0,0,366,5E7RbxVyLz681r9tF9a9bfB9ZuBQa4ZARbJ8HApjRruGaNtY,0,3.148.166.166:9001,20314,4.22,bittensor,0,0,miners,366,65,-39640,4.22,2392912,0,0,0,0.00940,0,None,0,0,0,0,validator_metrics,2741000000000,00:45:41.000000000,0,0,0,0,5E7RbxVyLz681r9tF9a9bfB9ZuBQa4ZARbJ8HApjRruGaNtY,1.00000
2025-12-17 13:03:51.000,miners,0,0,107,4966,0,0,366,5E7RbxVyLz681r9tF9a9bfB9ZuBQa4ZARbJ8HApjRruGaNtY,0,3.148.166.166:9001,17829,9.60,bittensor,0,0,miners,366,77,-38965,9.60,2510174,0,0,0,0.0117,0,None,0,0,0,0,validator_metrics,2741000000000,00:45:41.000000000,0,0,0,0,5E7RbxVyLz681r9tF9a9bfB9ZuBQa4ZARbJ8HApjRruGaNtY,1.00000
